Question,Relevant Documents,Văn bản tham chiếu,Score,Relevant_Documents_Tokenized
các học phần giáo dục thể chất tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='d) Các học phần giáo dục quốc phòng - an ninh do Trung tâm Giáo dục Quốc phòng và An ninh giảng dạy;'), 0.35841239143182024)",d) Các học phần giáo dục quốc phòng - an ninh do Trung tâm Giáo dục Quốc phòng và An ninh giảng dạy;,0.35841239143182024,"['d', 'các', 'học phần', 'giáo dục', 'quốc phòng', 'an ninh', 'do', 'trung tâm', 'giáo dục', 'quốc phòng', 'và', 'an ninh', 'giảng dạy']"
các học phần tin học cơ sở tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='e) Các học phần tin học cơ sở do Trường Đại học Công nghệ và Trường Đại học Khoa học Tự nhiên giảng dạy, trừ các đơn vị có ngành đào tạo về khoa học máy tính/công nghệ thông tin;'), 0.43335922400619586)","e) Các học phần tin học cơ sở do Trường Đại học Công nghệ và Trường Đại học Khoa học Tự nhiên giảng dạy, trừ các đơn vị có ngành đào tạo về khoa học máy tính/công nghệ thông tin;",0.43335922400619586,"['e', 'các', 'học', 'phần', 'tin học', 'cơ sở', 'do', 'trường', 'đại học', 'công nghệ', 'và', 'trường', 'đại học', 'khoa học tự nhiên', 'giảng dạy', 'trừ', 'các', 'đơn vị', 'có', 'ngành', 'đào tạo', 'về', 'khoa học', 'máy tính', 'công nghệ thông tin']"
các học phần tin học cơ sở tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='h) Các học phần còn lại do đơn vị quản lý học phần giảng dạy.'), 0.37874078584614024)",h) Các học phần còn lại do đơn vị quản lý học phần giảng dạy.,0.37874078584614024,"['h', 'các', 'học', 'phần', 'còn', 'lại', 'do', 'đơn vị', 'quản lý', 'học', 'phần', 'giảng dạy']"
các học phần tin học cơ sở tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='đ) Các học phần giáo dục thể chất do Trung tâm Giáo dục Thể chất và Thể thao giảng dạy;'), 0.36797049588396935)",đ) Các học phần giáo dục thể chất do Trung tâm Giáo dục Thể chất và Thể thao giảng dạy;,0.36797049588396935,"['đ', 'các', 'học phần', 'giáo dục', 'thể chất', 'do', 'trung tâm', 'giáo dục', 'thể chất', 'và', 'thể thao', 'giảng dạy']"
các học phần tin học cơ sở tại ĐHQGHN do đơn vị nào giảng dạy?,"(Document(metadata={}, page_content='d) Các học phần giáo dục quốc phòng - an ninh do Trung tâm Giáo dục Quốc phòng và An ninh giảng dạy;'), 0.3473562193962)",d) Các học phần giáo dục quốc phòng - an ninh do Trung tâm Giáo dục Quốc phòng và An ninh giảng dạy;,0.3473562193962,"['d', 'các', 'học phần', 'giáo dục', 'quốc phòng', 'an ninh', 'do', 'trung tâm', 'giáo dục', 'quốc phòng', 'và', 'an ninh', 'giảng dạy']"
việc xây dựng học liệu dùng chung tại ĐHQGHN thuộc trách nhiệm của đơn vị nào?,"(Document(metadata={}, page_content='- Tổ chức và quản lý đào tạo các ngành học, học phần đã được Đại học Quốc gia Hà Nội giao nhiệm vụ; công nhận kết quả học tập của sinh viên giữa các đơn vị đào tạo; kết quả học tập của sinh viên được tích lũy ở các trường đối tác thông qua trao đổi sinh viên; xây dựng học liệu dùng chung.'), 0.3816449987364804)","- Tổ chức và quản lý đào tạo các ngành học, học phần đã được Đại học Quốc gia Hà Nội giao nhiệm vụ; công nhận kết quả học tập của sinh viên giữa các đơn vị đào tạo; kết quả học tập của sinh viên được tích lũy ở các trường đối tác thông qua trao đổi sinh viên; xây dựng học liệu dùng chung.",0.3816449987364804,"['tổ chức', 'và', 'quản lý', 'đào tạo', 'các', 'ngành', 'học', 'học', 'phần', 'đã', 'được', 'đại học', 'quốc gia', 'hà nội', 'giao', 'nhiệm vụ', 'công nhận', 'kết quả', 'học tập', 'của', 'sinh viên', 'giữa', 'các', 'đơn vị', 'đào tạo', 'kết quả', 'học tập', 'của', 'sinh viên', 'được', 'tích lũy', 'ở', 'các', 'trường', 'đối tác', 'thông qua', 'trao đổi', 'sinh viên', 'xây dựng', 'học liệu', 'dùng', 'chung']"
việc xây dựng học liệu dùng chung tại ĐHQGHN thuộc trách nhiệm của đơn vị nào?,"(Document(metadata={}, page_content='2. Thủ trưởng đơn vị đào tạo quy định phương thức tổ chức hoạt động của giáo viên chủ nhiệm, cố vấn học tập.'), 0.38030527686286464)","2. Thủ trưởng đơn vị đào tạo quy định phương thức tổ chức hoạt động của giáo viên chủ nhiệm, cố vấn học tập.",0.38030527686286464,"['2', 'thủ trưởng', 'đơn vị', 'đào tạo', 'quy định', 'phương thức', 'tổ chức', 'hoạt động', 'của', 'giáo viên', 'chủ nhiệm', 'cố vấn', 'học tập']"
việc xây dựng học liệu dùng chung tại ĐHQGHN thuộc trách nhiệm của đơn vị nào?,"(Document(metadata={}, page_content='2. Đơn vị đào tạo có trách nhiệm lưu trữ, bảo quản an toàn các tài liệu liên quan tới công tác đào tạo theo các quy định do Bộ Giáo dục và Đào tạo ban hành.'), 0.3683660862040926)","2. Đơn vị đào tạo có trách nhiệm lưu trữ, bảo quản an toàn các tài liệu liên quan tới công tác đào tạo theo các quy định do Bộ Giáo dục và Đào tạo ban hành.",0.3683660862040926,"['2', 'đơn vị', 'đào tạo', 'có', 'trách nhiệm', 'lưu trữ', 'bảo quản', 'an toàn', 'các', 'tài liệu', 'liên quan', 'tới', 'công tác', 'đào tạo', 'theo', 'các', 'quy định', 'do', 'bộ', 'giáo dục', 'và', 'đào tạo', 'ban hành']"
việc xây dựng học liệu dùng chung tại ĐHQGHN thuộc trách nhiệm của đơn vị nào?,"(Document(metadata={}, page_content='c) Xây dựng, nghiệm thu đề cương học phần của các học phần thuộc đơn vị quản lý.'), 0.33969531318292034)","c) Xây dựng, nghiệm thu đề cương học phần của các học phần thuộc đơn vị quản lý.",0.33969531318292034,"['c', 'xây dựng', 'nghiệm thu', 'đề cương', 'học', 'phần', 'của', 'các', 'học', 'phần', 'thuộc', 'đơn vị', 'quản lý']"
Đại học Quốc gia Hà Nội có vai trò gì trong việc quản lý công tác tổ chức và quản lý đào tạo của các trường/khoa trực thuộc?,"(Document(metadata={}, page_content='a) Quy chế đào tạo đại học của Đại học Quốc gia Hà Nội và các quy định quản lý đào tạo có liên quan của đơn vị;'), 0.5996266869203384)",a) Quy chế đào tạo đại học của Đại học Quốc gia Hà Nội và các quy định quản lý đào tạo có liên quan của đơn vị;,0.5996266869203384,"['a', 'quy chế', 'đào tạo', 'đại học', 'của', 'đại học', 'quốc gia', 'hà nội', 'và', 'các', 'quy định', 'quản lý', 'đào tạo', 'có', 'liên quan', 'của', 'đơn vị']"
Đại học Quốc gia Hà Nội có vai trò gì trong việc quản lý công tác tổ chức và quản lý đào tạo của các trường/khoa trực thuộc?,"(Document(metadata={}, page_content='1. Hệ thống tổ chức và quản lý đào tạo đại học gồm hai cấp: cấp Đại học Quốc gia Hà Nội và cấp đơn vị đào tạo.'), 0.5685918550193415)",1. Hệ thống tổ chức và quản lý đào tạo đại học gồm hai cấp: cấp Đại học Quốc gia Hà Nội và cấp đơn vị đào tạo.,0.5685918550193415,"['1', 'hệ thống', 'tổ chức', 'và', 'quản lý', 'đào tạo', 'đại học', 'gồm', 'hai', 'cấp', 'cấp', 'đại học', 'quốc gia', 'hà nội', 'và', 'cấp', 'đơn vị', 'đào tạo']"
Đại học Quốc gia Hà Nội có vai trò gì trong việc quản lý công tác tổ chức và quản lý đào tạo của các trường/khoa trực thuộc?,"(Document(metadata={}, page_content='Thủ trưởng đơn vị đào tạo tổ chức kiểm tra, thanh tra nội bộ việc thực hiện  kế hoạch đào tạo, chương trình đào tạo, quy chế đào tạo và các nhiệm vụ khác liên quan đến tổ chức đào tạo; chịu sự kiểm tra, thanh tra, giám sát của Đại học Quốc gia Hà Nội, Bộ Giáo dục và Đào tạo và các cơ quan có thẩm quyền theo các quy định hiện hành.'), 0.5590710505281247)","Thủ trưởng đơn vị đào tạo tổ chức kiểm tra, thanh tra nội bộ việc thực hiện  kế hoạch đào tạo, chương trình đào tạo, quy chế đào tạo và các nhiệm vụ khác liên quan đến tổ chức đào tạo; chịu sự kiểm tra, thanh tra, giám sát của Đại học Quốc gia Hà Nội, Bộ Giáo dục và Đào tạo và các cơ quan có thẩm quyền theo các quy định hiện hành.",0.5590710505281247,"['thủ trưởng', 'đơn vị', 'đào tạo', 'tổ chức', 'kiểm tra', 'thanh tra', 'nội bộ', 'việc', 'thực hiện', 'kế hoạch', 'đào tạo', 'chương trình', 'đào tạo', 'quy chế', 'đào tạo', 'và', 'các', 'nhiệm vụ', 'khác', 'liên quan', 'đến', 'tổ chức', 'đào tạo', 'chịu', 'sự', 'kiểm tra', 'thanh tra', 'giám sát', 'của', 'đại học', 'quốc gia', 'hà nội', 'bộ', 'giáo dục', 'và', 'đào tạo', 'và', 'các', 'cơ quan', 'có', 'thẩm quyền', 'theo', 'các', 'quy định', 'hiện hành']"
Đại học Quốc gia Hà Nội có vai trò gì trong việc quản lý công tác tổ chức và quản lý đào tạo của các trường/khoa trực thuộc?,"(Document(metadata={}, page_content='Đại học Quốc gia Hà Nội thực hiện thanh tra, kiểm tra việc thực hiện Quy chế này của các đơn vị đào tạo.'), 0.5583846469532762)","Đại học Quốc gia Hà Nội thực hiện thanh tra, kiểm tra việc thực hiện Quy chế này của các đơn vị đào tạo.",0.5583846469532762,"['đại học', 'quốc gia', 'hà nội', 'thực hiện', 'thanh tra', 'kiểm tra', 'việc', 'thực hiện', 'quy chế', 'này', 'của', 'các', 'đơn vị', 'đào tạo']"
đơn vị đào tạo tại ĐHQGHN cần làm gì để công nhận kết quả học tập của sinh viên giữa các đơn vị đào tạo?,"(Document(metadata={}, page_content='3. Đơn vị đào tạo công khai quy định việc công nhận kết quả học tập và chuyển đổi tín chỉ. Khối lượng tối đa được công nhận, chuyển đổi không vượt quá 50% khối lượng học tập tối thiểu của chương trình đào tạo; riêng đối với ngành đào tạo giáo viên thực hiện theo hướng dẫn của Bộ Giáo dục và Đào tạo.'), 0.5285102020854813)","3. Đơn vị đào tạo công khai quy định việc công nhận kết quả học tập và chuyển đổi tín chỉ. Khối lượng tối đa được công nhận, chuyển đổi không vượt quá 50% khối lượng học tập tối thiểu của chương trình đào tạo; riêng đối với ngành đào tạo giáo viên thực hiện theo hướng dẫn của Bộ Giáo dục và Đào tạo.",0.5285102020854813,"['3', 'đơn vị', 'đào tạo', 'công khai', 'quy định', 'việc', 'công nhận', 'kết quả', 'học tập', 'và', 'chuyển đổi', 'tín chỉ', 'khối lượng', 'tối đa', 'được', 'công nhận', 'chuyển đổi', 'không', 'vượt', 'quá', '50', 'khối lượng', 'học tập', 'tối thiểu', 'của', 'chương trình', 'đào tạo', 'riêng', 'đối với', 'ngành', 'đào tạo', 'giáo viên', 'thực hiện', 'theo', 'hướng dẫn', 'của', 'bộ', 'giáo dục', 'và', 'đào tạo']"
đơn vị đào tạo tại ĐHQGHN cần làm gì để công nhận kết quả học tập của sinh viên giữa các đơn vị đào tạo?,"(Document(metadata={}, page_content='- Tổ chức và quản lý đào tạo các ngành học, học phần đã được Đại học Quốc gia Hà Nội giao nhiệm vụ; công nhận kết quả học tập của sinh viên giữa các đơn vị đào tạo; kết quả học tập của sinh viên được tích lũy ở các trường đối tác thông qua trao đổi sinh viên; xây dựng học liệu dùng chung.'), 0.5121893407618197)","- Tổ chức và quản lý đào tạo các ngành học, học phần đã được Đại học Quốc gia Hà Nội giao nhiệm vụ; công nhận kết quả học tập của sinh viên giữa các đơn vị đào tạo; kết quả học tập của sinh viên được tích lũy ở các trường đối tác thông qua trao đổi sinh viên; xây dựng học liệu dùng chung.",0.5121893407618197,"['tổ chức', 'và', 'quản lý', 'đào tạo', 'các', 'ngành', 'học', 'học', 'phần', 'đã', 'được', 'đại học', 'quốc gia', 'hà nội', 'giao', 'nhiệm vụ', 'công nhận', 'kết quả', 'học tập', 'của', 'sinh viên', 'giữa', 'các', 'đơn vị', 'đào tạo', 'kết quả', 'học tập', 'của', 'sinh viên', 'được', 'tích lũy', 'ở', 'các', 'trường', 'đối tác', 'thông qua', 'trao đổi', 'sinh viên', 'xây dựng', 'học liệu', 'dùng', 'chung']"
