Question,Relevant Documents
 Quy định về việc xây dựng những ngành học mới tại ĐHQGHN như thế nào?,"(Document(metadata={}, page_content='a) Xây dựng chương trình đào tạo, đề án mở ngành học mới và trình Đại học Quốc gia Hà Nội thẩm định, phê duyệt, ban hành;'), 0.4232732302764479)"
Trung tâm Dự báo và Phát triển Nguồn nhân lực có vai trò gì trong việc xây dựng các học phần kỹ năng bổ trợ?,"(Document(metadata={}, page_content='g) Các học phần kỹ năng bổ trợ do đơn vị đào tạo xây dựng chương trình và tổ chức giảng dạy hoặc Trung tâm Dự báo và Phát triển Nguồn nhân lực làm đầu mối xây dựng chương trình, trình Đại học Quốc gia Hà Nội xem xét, phê duyệt ban hành và giao nhiệm vụ tổ chức triển khai thực hiện;'), 0.5014948308332714)"
Trung tâm Dự báo và Phát triển Nguồn nhân lực có vai trò gì trong việc xây dựng các học phần kỹ năng bổ trợ?,"(Document(metadata={}, page_content='- Điều phối sử dụng các nguồn lực chung (nhân lực, cơ sở vật chất - kỹ thuật) phục vụ đào tạo.'), 0.35102708346095335)"
Trung tâm Dự báo và Phát triển Nguồn nhân lực có vai trò gì trong việc xây dựng các học phần kỹ năng bổ trợ?,"(Document(metadata={}, page_content='- Truyền thụ và tạo lập cho sinh viên hoài bão khoa học, niềm say mê học tập, nghiên cứu khoa học, tư duy khoa học và năng lực sáng tạo, động viên, khuyến khích sinh viên rèn luyện phẩm chất chính trị, đạo đức tác phong của người cán bộ nghiên cứu khoa học;'), 0.3155360652668997)"
Trung tâm Dự báo và Phát triển Nguồn nhân lực có vai trò gì trong việc xây dựng các học phần kỹ năng bổ trợ?,"(Document(metadata={}, page_content='5. Thủ trưởng đơn vị đào tạo quy định cụ thể quy trình coi thi và chấm thi. Các học phần kỹ năng bổ trợ được tổ chức thi và cấp chứng chỉ tại đơn vị phụ trách đào tạo kỹ năng bổ trợ.'), 0.2934419707810644)"
Đơn vị nào điều phối sử dụng các nguồn lực chung?,"(Document(metadata={}, page_content='- Điều phối sử dụng các nguồn lực chung (nhân lực, cơ sở vật chất - kỹ thuật) phục vụ đào tạo.'), 0.4707724756671344)"
Đơn vị nào điều phối sử dụng các nguồn lực chung?,"(Document(metadata={}, page_content='c) Đơn vị được giao quản lý cơ sở vật chất được sử dụng một phần kinh phí đào tạo để duy tu, bảo dưỡng, nâng cấp cơ sở vật chất phục vụ công tác đào tạo của Đại học Quốc gia Hà Nội. Tỉ lệ và định mức do các đơn vị thống nhất dựa trên các quy định hiện hành của Đại học Quốc gia Hà Nội.'), 0.20486295079008265)"
Đơn vị nào điều phối sử dụng các nguồn lực chung?,"(Document(metadata={}, page_content='c) Các nguồn kinh phí hợp pháp khác'), 0.20139932277945738)"
Đơn vị nào điều phối sử dụng các nguồn lực chung?,"(Document(metadata={}, page_content='b) Đơn vị quản lý nguồn kinh phí đào tạo có trách nhiệm thanh toán kinh phí cho đơn vị thực hiện các nhiệm vụ nêu tại khoản 2, Điều 2 của Quy chế này theo tỷ lệ và định mức do Đại học Quốc gia Hà Nội quy định.'), 0.15887500709329982)"
Đơn vị đào tạo công nhận kết quả học tập của sinh viên từ các trường đối tác  thông qua hoạt động nào?,"(Document(metadata={}, page_content='- Tổ chức và quản lý đào tạo các ngành học, học phần đã được Đại học Quốc gia Hà Nội giao nhiệm vụ; công nhận kết quả học tập của sinh viên giữa các đơn vị đào tạo; kết quả học tập của sinh viên được tích lũy ở các trường đối tác thông qua trao đổi sinh viên; xây dựng học liệu dùng chung.'), 0.5790330202414908)"
Đơn vị đào tạo công nhận kết quả học tập của sinh viên từ các trường đối tác  thông qua hoạt động nào?,"(Document(metadata={}, page_content='3. Đơn vị đào tạo công khai quy định việc công nhận kết quả học tập và chuyển đổi tín chỉ. Khối lượng tối đa được công nhận, chuyển đổi không vượt quá 50% khối lượng học tập tối thiểu của chương trình đào tạo; riêng đối với ngành đào tạo giáo viên thực hiện theo hướng dẫn của Bộ Giáo dục và Đào tạo.'), 0.49588563320550205)"
Đơn vị đào tạo công nhận kết quả học tập của sinh viên từ các trường đối tác  thông qua hoạt động nào?,"(Document(metadata={}, page_content='9. Ngoài các quy định trên, việc tổ chức kiểm tra, đánh giá và thi kết thúc học phần đối với sinh viên các chương trình đào tạo tài năng, chất lượng cao được thực hiện như sau:'), 0.4841810740523902)"
Đơn vị đào tạo công nhận kết quả học tập của sinh viên từ các trường đối tác  thông qua hoạt động nào?,"(Document(metadata={}, page_content='Đơn vị đào tạo thực hiện cảnh báo học vụ theo từng học kỳ cho sinh viên có kết quả học tập như sau:'), 0.4650577844775423)"
việc xây dựng chương trình đào tạo mới tại ĐHQGHN cần báo cáo cho ai để được thẩm định và phê duyệt?,"(Document(metadata={}, page_content='a) Xây dựng chương trình đào tạo, đề án mở ngành học mới và trình Đại học Quốc gia Hà Nội thẩm định, phê duyệt, ban hành;'), 0.5434311136890051)"
việc xây dựng chương trình đào tạo mới tại ĐHQGHN cần báo cáo cho ai để được thẩm định và phê duyệt?,"(Document(metadata={}, page_content='- Xây dựng những ngành học mới, chương trình đào tạo mới, chú trọng các chương trình đào tạo có tính liên ngành, báo cáo Giám đốc Đại học Quốc gia Hà Nội xem xét thẩm định, ban hành và giao nhiệm vụ tổ chức đào tạo.'), 0.5275229543059621)"
việc xây dựng chương trình đào tạo mới tại ĐHQGHN cần báo cáo cho ai để được thẩm định và phê duyệt?,"(Document(metadata={}, page_content='2. Đơn vị tổ chức chương trình đào tạo thứ hai đề xuất, tổ chức thẩm định các học phần cần tích lũy để hoàn thành chương trình đào tạo thứ hai và công nhận những học phần tương đương của chương trình đào tạo thứ nhất (so với chương trình đào tạo thứ hai). Các trường đại học thành viên báo cáo Đại học Quốc gia Hà Nội cho ý kiến trước khi triển khai chương trình đào tạo thứ hai, các trường/khoa trực thuộc trình Đại học Quốc gia Hà Nội xem xét, phê duyệt.'), 0.44188211756522033)"
việc xây dựng chương trình đào tạo mới tại ĐHQGHN cần báo cáo cho ai để được thẩm định và phê duyệt?,"(Document(metadata={}, page_content='g) Các học phần kỹ năng bổ trợ do đơn vị đào tạo xây dựng chương trình và tổ chức giảng dạy hoặc Trung tâm Dự báo và Phát triển Nguồn nhân lực làm đầu mối xây dựng chương trình, trình Đại học Quốc gia Hà Nội xem xét, phê duyệt ban hành và giao nhiệm vụ tổ chức triển khai thực hiện;'), 0.418511226450596)"
Tại sao Đại học Quốc gia Hà Nội lại có nhiệm vụ quản lý toàn diện công tác tổ chức và quản lý đào tạo của các trường/khoa trực thuộc?,"(Document(metadata={}, page_content='1. Hệ thống tổ chức và quản lý đào tạo đại học gồm hai cấp: cấp Đại học Quốc gia Hà Nội và cấp đơn vị đào tạo.'), 0.4689028414671911)"
Tại sao Đại học Quốc gia Hà Nội lại có nhiệm vụ quản lý toàn diện công tác tổ chức và quản lý đào tạo của các trường/khoa trực thuộc?,"(Document(metadata={}, page_content='1. Được hưởng đầy đủ chế độ, chính sách hiện hành của Đảng, Nhà nước  cũng như các quy chế, quy định của Đại học Quốc gia Hà Nội và của đơn vị đào tạo.'), 0.45958349891185624)"
Tại sao Đại học Quốc gia Hà Nội lại có nhiệm vụ quản lý toàn diện công tác tổ chức và quản lý đào tạo của các trường/khoa trực thuộc?,"(Document(metadata={}, page_content='a) Quy chế đào tạo đại học của Đại học Quốc gia Hà Nội và các quy định quản lý đào tạo có liên quan của đơn vị;'), 0.45843192056999316)"
Tại sao Đại học Quốc gia Hà Nội lại có nhiệm vụ quản lý toàn diện công tác tổ chức và quản lý đào tạo của các trường/khoa trực thuộc?,"(Document(metadata={}, page_content='Đơn vị đào tạo tổ chức phổ biến, hướng dẫn cho sinh viên Quy chế đào tạo đại học tại Đại học Quốc gia Hà Nội và các quy định liên quan đến quá trình học tập, các quy định về nghĩa vụ và quyền lợi của sinh viên ngay đầu khóa học;'), 0.4580512080873942)"
tại sao việc xây dựng các chương trình đào tạo mới cần được báo cáo và thẩm định bởi Giám đốc Đại học Quốc gia Hà Nội?,"(Document(metadata={}, page_content='- Xây dựng những ngành học mới, chương trình đào tạo mới, chú trọng các chương trình đào tạo có tính liên ngành, báo cáo Giám đốc Đại học Quốc gia Hà Nội xem xét thẩm định, ban hành và giao nhiệm vụ tổ chức đào tạo.'), 0.6239999986799458)"
tại sao việc xây dựng các chương trình đào tạo mới cần được báo cáo và thẩm định bởi Giám đốc Đại học Quốc gia Hà Nội?,"(Document(metadata={}, page_content='2. Đơn vị tổ chức chương trình đào tạo thứ hai đề xuất, tổ chức thẩm định các học phần cần tích lũy để hoàn thành chương trình đào tạo thứ hai và công nhận những học phần tương đương của chương trình đào tạo thứ nhất (so với chương trình đào tạo thứ hai). Các trường đại học thành viên báo cáo Đại học Quốc gia Hà Nội cho ý kiến trước khi triển khai chương trình đào tạo thứ hai, các trường/khoa trực thuộc trình Đại học Quốc gia Hà Nội xem xét, phê duyệt.'), 0.5080490872452006)"
tại sao việc xây dựng các chương trình đào tạo mới cần được báo cáo và thẩm định bởi Giám đốc Đại học Quốc gia Hà Nội?,"(Document(metadata={}, page_content='a) Xây dựng chương trình đào tạo, đề án mở ngành học mới và trình Đại học Quốc gia Hà Nội thẩm định, phê duyệt, ban hành;'), 0.5070269418751143)"
tại sao việc xây dựng các chương trình đào tạo mới cần được báo cáo và thẩm định bởi Giám đốc Đại học Quốc gia Hà Nội?,"(Document(metadata={}, page_content='- Thực hiện nghiêm túc các quy định của Đại học Quốc gia Hà Nội và của đơn vị đào tạo đối với chương trình đào tạo này;'), 0.4838412440128469)"
tại sao việc phân công giảng dạy các học phần chung lại được giao cho các đơn vị chuyên trách tại ĐHQGHN?,"(Document(metadata={}, page_content='2. Phân công giảng dạy các học phần chung'), 0.4706800897751985)"
tại sao việc phân công giảng dạy các học phần chung lại được giao cho các đơn vị chuyên trách tại ĐHQGHN?,"(Document(metadata={}, page_content='h) Các học phần còn lại do đơn vị quản lý học phần giảng dạy.'), 0.43429054291774116)"
tại sao việc phân công giảng dạy các học phần chung lại được giao cho các đơn vị chuyên trách tại ĐHQGHN?,"(Document(metadata={}, page_content='- Tổ chức và quản lý đào tạo các ngành học, học phần đã được Đại học Quốc gia Hà Nội giao nhiệm vụ; công nhận kết quả học tập của sinh viên giữa các đơn vị đào tạo; kết quả học tập của sinh viên được tích lũy ở các trường đối tác thông qua trao đổi sinh viên; xây dựng học liệu dùng chung.'), 0.40237623272886747)"
tại sao việc phân công giảng dạy các học phần chung lại được giao cho các đơn vị chuyên trách tại ĐHQGHN?,"(Document(metadata={}, page_content='2. Được phép thôi học vì lý do chủ quan của cá nhân, trong trường hợp này, sinh viên phải hoàn trả cho đơn vị đào tạo toàn bộ kinh phí đào tạo từ ngân sách nhà nước trong thời gian theo học.'), 0.3865182280955525)"
các học phần kỹ năng bổ trợ được xây dựng và tổ chức giảng dạy như thế nào tại ĐHQGHN?,"(Document(metadata={}, page_content='g) Các học phần kỹ năng bổ trợ do đơn vị đào tạo xây dựng chương trình và tổ chức giảng dạy hoặc Trung tâm Dự báo và Phát triển Nguồn nhân lực làm đầu mối xây dựng chương trình, trình Đại học Quốc gia Hà Nội xem xét, phê duyệt ban hành và giao nhiệm vụ tổ chức triển khai thực hiện;'), 0.4713711295033831)"
các học phần kỹ năng bổ trợ được xây dựng và tổ chức giảng dạy như thế nào tại ĐHQGHN?,"(Document(metadata={}, page_content='5. Thủ trưởng đơn vị đào tạo quy định cụ thể quy trình coi thi và chấm thi. Các học phần kỹ năng bổ trợ được tổ chức thi và cấp chứng chỉ tại đơn vị phụ trách đào tạo kỹ năng bổ trợ.'), 0.3786865007052582)"
các học phần kỹ năng bổ trợ được xây dựng và tổ chức giảng dạy như thế nào tại ĐHQGHN?,"(Document(metadata={}, page_content='- Tổ chức và quản lý đào tạo các ngành học, học phần đã được Đại học Quốc gia Hà Nội giao nhiệm vụ; công nhận kết quả học tập của sinh viên giữa các đơn vị đào tạo; kết quả học tập của sinh viên được tích lũy ở các trường đối tác thông qua trao đổi sinh viên; xây dựng học liệu dùng chung.'), 0.3538521024229415)"
các học phần kỹ năng bổ trợ được xây dựng và tổ chức giảng dạy như thế nào tại ĐHQGHN?,"(Document(metadata={}, page_content='h) Các học phần còn lại do đơn vị quản lý học phần giảng dạy.'), 0.3490488368323975)"
Đại học Quốc gia Hà Nội có những biện pháp nào để đảm bảo sự liên thông và hợp tác giữa các đơn vị đào tạo?,"(Document(metadata={}, page_content='Đại học Quốc gia Hà Nội thực hiện thanh tra, kiểm tra việc thực hiện Quy chế này của các đơn vị đào tạo.'), 0.5369126820983101)"
Đại học Quốc gia Hà Nội có những biện pháp nào để đảm bảo sự liên thông và hợp tác giữa các đơn vị đào tạo?,"(Document(metadata={}, page_content='- Tổ chức và quản lý đào tạo các ngành học, học phần đã được Đại học Quốc gia Hà Nội giao nhiệm vụ; công nhận kết quả học tập của sinh viên giữa các đơn vị đào tạo; kết quả học tập của sinh viên được tích lũy ở các trường đối tác thông qua trao đổi sinh viên; xây dựng học liệu dùng chung.'), 0.5295869276243892)"
Đại học Quốc gia Hà Nội có những biện pháp nào để đảm bảo sự liên thông và hợp tác giữa các đơn vị đào tạo?,"(Document(metadata={}, page_content='a) Quy chế đào tạo đại học của Đại học Quốc gia Hà Nội và các quy định quản lý đào tạo có liên quan của đơn vị;'), 0.5121940190620045)"
Đại học Quốc gia Hà Nội có những biện pháp nào để đảm bảo sự liên thông và hợp tác giữa các đơn vị đào tạo?,"(Document(metadata={}, page_content='b) Thực hiện đầy đủ các quy chế, quy định của đơn vị đào tạo và của Đại học Quốc gia Hà Nội.'), 0.4859101063657011)"
việc điều phối sử dụng các nguồn lực chung phục vụ đào tạo của Đại học Quốc gia Hà Nội bao gồm những gì?,"(Document(metadata={}, page_content='- Điều phối sử dụng các nguồn lực chung (nhân lực, cơ sở vật chất - kỹ thuật) phục vụ đào tạo.'), 0.5814962928027101)"
việc điều phối sử dụng các nguồn lực chung phục vụ đào tạo của Đại học Quốc gia Hà Nội bao gồm những gì?,"(Document(metadata={}, page_content='c) Đơn vị được giao quản lý cơ sở vật chất được sử dụng một phần kinh phí đào tạo để duy tu, bảo dưỡng, nâng cấp cơ sở vật chất phục vụ công tác đào tạo của Đại học Quốc gia Hà Nội. Tỉ lệ và định mức do các đơn vị thống nhất dựa trên các quy định hiện hành của Đại học Quốc gia Hà Nội.'), 0.42362941329321346)"
việc điều phối sử dụng các nguồn lực chung phục vụ đào tạo của Đại học Quốc gia Hà Nội bao gồm những gì?,"(Document(metadata={}, page_content='- Tổ chức và quản lý đào tạo các ngành học, học phần đã được Đại học Quốc gia Hà Nội giao nhiệm vụ; công nhận kết quả học tập của sinh viên giữa các đơn vị đào tạo; kết quả học tập của sinh viên được tích lũy ở các trường đối tác thông qua trao đổi sinh viên; xây dựng học liệu dùng chung.'), 0.4235414949672197)"
